domain,count,company_name,company_website_url,company_logo_url
exactag.com,1,Exactag (formerly Falk Multichannel),http://www.exactag.com,https://ba-cdn.ghostery.com/logos/exactag.png
youtube.com,1,YouTube,http://www.youtube.com/,https://ba-cdn.ghostery.com/logos/youtube2.png
quality-channel.de,2,,,
tagesspiegel.de,1,,,
googleadservices.com,2,,,
biallo1.de,1,,,
disquscdn.com,3,,,
ajax.googleapis.com,4,,,
huffingtonpost.de,1,,,
fonts.googleapis.com,2,,,
brightcove.com,3,Brightcove,http://www.brightcove.com/en/,https://ba-cdn.ghostery.com/logos/brightcove.png
wulffmorgenthaler.de,1,,,
o2online.de,3,,,
de17a.com,1,,,
plus.de,1,,,
facebook.com,12,Facebook Connect,http://developers.facebook.com/,http://cdn.betteradvertising.com/logos/facebook connect.png
t4ft.de,4,,,
adspirit.de,5,AdSpirit,http://www.adspirit.de ,https://ba-cdn.ghostery.com/logos/adspirit.png
bild.de,1,,,
adnxs.com,2,,,
spiegel.de,1,,,
serving-sys.com,9,,,
adjug.com,3,AdJug,http://www.adjug.com/,https://ba-cdn.ghostery.com/logos/adjug.png
twiago.com,1,,,
mediaplex.com,4,,,
fefe.de,1,,,
m-pathy.com,1,,,
sblk.io,1,,,
taz.de,1,,,
flattr.com,2,Flattr,http://flattr.com/,https://ba-cdn.ghostery.com/logos/flattr.png
newrelic.com,2,New Relic,http://newrelic.com/,https://ba-cdn.ghostery.com/logos/newrelic.png
mathtag.com,2,,,
qservz.com,4,,,
google.com,13,DoubleClick,http://www.google.com/doubleclick/,https://ba-cdn.ghostery.com/logos/doubleclick.png
newtentionassets.net,1,,,
twimg.com,6,,,
webmasterplan.com,2,,,
trgt.eu,4,,,
handelsblatt.com,1,,,
adscience.nl,2,,,
openx.net,1,,,
adscale.de,4,adscale,http://www.adscale.de/,https://ba-cdn.ghostery.com/logos/logo_adscale.png
google-analytics.com,12,,,
ocm.de,2,,,
huffpost.com,2,,,
